Country,Codes,Trade_Volume,Exchange_count,Latitude,Longitude,Currency
United States,USA,419943916682244000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23,37.09024,-95.712891,US Dollar
European Union,BEL,6240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,19,50.503887,4.469936,Euro
China,CHN,1443628445320690000000000000000000000000000,5,35.86166,104.195397,Chinese Yuan Renminbi
United Kingdom,GBR,41600000000000000000000000000,5,55.378051,-3.435973,Pound sterling
Canada,CAN,3090000000000000000000000,6,56.130366,-106.346771,Canadian dollar
Poland,POL,3580000000000000000000,5,51.919438,19.145136,Polish zloty
Japan,JPN,512609309114671000,3,36.204824,138.252924,Japanese yen
Russia,RUS,200000000000,2,61.52401,105.318756,Russian ruble
Australia,AUS,22596183431,2,-25.274398,133.775136,Australian dollar
Brazil,BRA,18464810423,2,-14.235004,-51.92528,Brazilian real
Singapore,SGP,2177373768,2,1.352083,103.819836,Singapore dollar
Hong Kong,HKG,2062919958,2,22.396428,114.109497,Hong Kong Dollar
Mexico,MEX,1766748142,2,23.634501,-102.552784,Mexican peso
Ukraine,UKR,96617465,2,48.379433,31.16558,Ukrainian hryvnia
Norway,NOR,87913439,2,60.472024,8.468946,Norwegian krone
Indonesia,IDN,481744,1,-0.789275,113.921327,Indonesian rupiah
South Africa,ZAF,56061,1,-30.559482,22.937506,South African rand
Philippines,PHL,43676,2,12.879721,121.774017,Philippine peso
Sweden,SWE,31779,1,60.128161,18.643501,Swedish krona
Venezuela,VEN,30773,1,6.42375,-66.58973,Venezuelan bolivar
India,IND,24327,1,20.593684,78.96288,Indian rupee
Thailand,THA,22497,1,15.870032,100.992541,Thai baht
Malaysia,MYS,21393,1,4.210484,101.975766,Malaysian ringgit
New Zealand,NZL,13536,1,-40.900557,174.885971,New Zealand dollar
Colombia,COL,13287,1,4.570868,-74.297333,Colombian peso
Israel,ISR,11142,1,31.046051,34.851612,Israeli new shekel
Romania,ROU,9486,1,45.943161,24.96676,Romanian leu
Pakistan,PAK,8582,1,30.375321,69.345116,Pakistani rupee
Kenya,KEN,8234,1,-0.023559,37.906193,Kenyan shilling
United Arab Emirates,ARE,7088,1,23.424076,53.847818,UAE dirham
Argentina,ARG,5698,1,-38.416097,-63.616672,Argentine peso
Turkey,TUR,4383,1,38.963745,35.243322,Turkish lira
Switzerland,CHE,3543,1,46.818188,8.227512,Swiss franc
Chile,CHL,2536,1,-35.675147,-71.542969,Chilean peso
Czech Republic,CZE,2507,1,49.817492,15.472962,Czech koruna
Saudi Arabia,SAU,2478,1,23.885942,45.079162,Saudi Arabian riyal
Croatia,HRV,2271,1,45.1,15.2,Croatian kuna
Iran,IRN,1421,1,32.427908,53.688046,Iranian rial
Denmark,DNK,1309,1,56.26392,9.501785,Danish krone
Hungary,HUN,449,1,47.162494,19.503304,Hungarian forint